name,description,agency,link,error
Startup SG Founder,"Startup SG Founder provides mentorship and startup capital grant of S$50,000 to first-time entrepreneurs with innovative business ideas. Startups are required to commit S$10,000 as co-matching fund to the grant.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.startupsg.gov.sg/programmes/4894/startup-sg-founder>,False
Startup SG Tech,Startup SG Tech supports Proof-of-Concept (POC) and Proof-of-Value (POV) for commercialisation of innovative technologies.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.startupsg.gov.sg/programmes/4897/startup-sg-tech>,False
5G Open Testbed,Companies would be able to trial their solutions at these 5G testbeds before they embark on their journey towards commercialisation as part of our efforts to convert Singapore into an innovation hub for 5G.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/5g-open-testbed>,False
Digital Integration Incentive,The Digital Integration Incentive aims to increase the market supply of software integrated with seamless tax filing and e-invoicing capabilities; and drive end-business adoption of these software. This is part of IRAS’ ongoing efforts to facilitate the fulfilment of tax-related obligations through taxpayers’ natural systems.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.iras.gov.sg/who-we-are/what-we-do/digital-collaboration/iras-digital-integration-incentive-\(dii\)>,False
Growth and Transformation Scheme,Supports initiatives that build best-in-class capabilities and enable holistic transformation for value chains in the Building & Construction sector.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme>,False
LEAD Connect Grant,A $30k fixed grant applicable to large enterprises with their own finance/ ERP solution.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/nationwide-e-invoicing-framework/invoicenow/grants>,False
LEAD Transact Grant,Up to a $40k grant by IMDA applies to large enterprises that meet the minimum number of transacting business partners on the InvoiceNow network.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/how-we-can-help/nationwide-e-invoicing-framework/invoicenow/grants>,False
Maritime Innovation and Technology Fund (MINT),"The Maritime Innovation and Technology Fund (MINT) aims to support and grow Singapore’s maritime innovation and technology ecosystem. There are three funding schemes available: MINT-Research & Development (MINT-RD), MINT-Product Development (MINT-PD) and MINT-Startup Grant (MINT-STARTUP).",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund>,False
Operation & Technology Roadmap (OTR),Development of technology roadmaps to map out priorities that are aligned to businesses’ strategies and developmental plans.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.a-star.edu.sg/Collaborate/programmes-for-smes/Operation-Technology-Roadmap>,False
Partnerships for Capability Transformation,"The enhanced Partnerships for Capability Transformation scheme will support more collaborations between multinational corporations, large local enterprises, and SMEs, including capability training, internationalisation and corporate venturing.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/about-edb/media-releases-publications/collaborations-for-enhanced-partnerships-for-capability-transformation.html>,False
Productivity Solutions Grant (PSG),The PSG supports businesses in the adoption of productivity solutions. Businesses can choose from a list of pre-scoped solutions and receive up to 50% funding support for eligible costs.,,https://www.gobusiness.gov.sg/gov-assist/grants/</productivity-solutions-grant/>,False
Public Sector Construction Productivity Fund,The Public Sector Construction Productivity Fund (PSCPF) was introduced to support public agencies by funding the construction cost premium incurred for adopting Design for Manufacturing and Assembly (DfMA) technologies by public sector projects.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/public-sector-construction-productivity-fund-pscpf>,False
Start Digital,"SMEs new to using digital technology can adopt any 2 solutions e.g. Digital Marketing, Digital Collaboration, Accounting, HR/Payroll, Cybersecurity, etc., at no cost for at least 6 months (min. 18 months contract).",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/StartDigital>,False
SG Cyber Talent Development Fund,"To support communities, associations and industry partners to develop new ground up initiatives; sustain meaningful initiatives and scale impactful initiatives that aim to engage, build and advance the cybersecurity workforce and ecosystem. The Fund will support 3 tiers of initiatives (1) community events and projects (2) skill development and recognition projects (3) training and job placement programmes.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.csa.gov.sg/docs/default-source/our-programmes/talent-and-skills-development/sg-cyber-talent/sg-cyber-talent-development-fund-details.pdf?sfvrsn=d3e4bf74_0>,False
Technology for Enterprise Capability Upgrading (T-Up),Get access to talents from A*STAR’s Research Institutes and build in-house R&D capabilities.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.a-star.edu.sg/Collaborate/programmes-for-smes/Technology-for-Enterprise-Capability-Upgrading>,False
Grow Digital,SMEs that are ready to sell overseas can receive funding support when they participate in pre-approved Business-to-Business (B2B) and Business-to-Consumer (B2C) e-commerce platforms with global or regional reach.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/smes-go-digital/Grow-Digital>,False
Local Enterprise and Association Development (LEAD) Programme,TACs keen to drive capability development and internationalisation projects can tap on LEAD programme. LEAD supports up to 70% of eligible costs for qualifying projects.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme>,False
Market Readiness Assistance (MRA) Grant,SMEs looking to take their business overseas can receive up to 70% support for eligible costs with the MRA grant from 1 April 2020 - 31 March 2023.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant>,False
Building & Construction Transformation Gross Floor Area Incentive Scheme,"Aims to encourage greater adoption of enhanced Construction Industry Transformation Map (ITM) standards in areas of digitalisation, productivity and sustainability (“ITM Outcome Requirements”) in private sector developments.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/sustainability/green-mark-incentive-schemes/built-environment-transformation-gross-floor-area-incentive-scheme>,False
Cities of Tomorrow (CoT) R &D programme,Research programme that works with industry and research partners to co-develop innovative solutions and technologies to provide green and sustainability solutions.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mnd.gov.sg/cities-of-tomorrow>,False
Electric Vehicle Common Charger Grant (ECCG),The scheme is introduced to kickstart the installation of shared charging infrastructure in non-landed private residences (NLPRs).,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.lta.gov.sg/content/ltagov/en/industry_innovations/technologies/electric_vehicles/ev_common_charger_grant.html>,False
Green Mark Incentive Scheme for Existing Buildings 2.0 (GMIS-EB 2.0),"Provide grant support to building owners on their goals to attain higher energy performance by lowering the upfront capital costs for energy efficiency retrofits and improve the returns on investment, particularly for buildings meeting Super Low Energy or Zero Energy standards.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/sustainability/green-mark-incentive-schemes/green-mark-incentive-scheme-for-existing-buildings-2.0>,False
Skyrise Greenery Incentive Scheme,Skyrise Greenery Incentive Scheme (SGIS) was introduced to increase the greenery provision in Singapore by encouraging the installation of new skyrise greenery on existing buildings.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skyrisegreenery.nparks.gov.sg/incentive-scheme/about/>,False
Sustainable Bond Grant Scheme,"Offsets up to S$125,000 of expenses incurred for external reviews of eligible green, social, sustainability, sustainability-linked as well as transition bonds and promotes the adoption of internationally-recognised standards and taxonomies.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/sustainable-bond-grant-scheme>,False
SkillsFuture For Business,Find all SkillsFuture-supported programmes and grants in one place.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg>,False
e-Adviser for Skills Training,For business owners to get personalised recommendations on skills training courses and SkillsFuture initiatives relevant to your business as part of the SkillsFuture Movement.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/eadviser.gobusiness.gov.sg/skillstraining?src=govassist_grants>,False
Absentee Payroll (AP) Funding,"Defray some manpower costs incurred when you send your employees for training courses funded by SkillsFuture (SSG). Capped at $100,000 per organisation annually.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/funding/absentee-payroll-funding>,False
Career Trial,"Allows companies to assess jobseekers’ job fit through a short-term trial, before formal employment. Government will provide training allowance to the jobseekers for the trial period (up to 3 months).",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/career-trial-employers.html>,False
Company-Led Training (CLT) Programme,"CLT accelerates professional development through on-the-job training programme for fresh to mid-level professionals acquiring competencies for jobs in demand by industry, especially the Digital Economy sector.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/TechSkills-Accelerator-TeSA/Company-Led-Training-Programme-CLT>,False
Employment Support for Ex-Offenders,This programme equips ex-offenders with industry skills to prepare them for re-integration into the workforce.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/employment-support-for-employers-to-hire-ex-offenders.html>,False
Employment Support for Persons with Disabilities,"Hire, train and integrate Persons with Disabilities into the workforce. Receive course fee subsidies of up to 90% for SG Enable’s list of curated training courses.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/employment-support-for-persons-with-disabilities.html>,False
Enabling Employment Credit,The Enabling Employment Credit provides wage offsets to employers hiring persons with disabilities.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/sec-cto-eec>,False
Enhanced Training Support for SMEs (ETSS),Small and Medium Enterprises (SMEs) receive up to 90% course fee subsidy for employer-sponsored training under selected SSG-supported courses. SME status is derived automatically from government data. No application is required.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/funding/training-subsidies-for-employers>,False
Part-Time Re-employment Grant (PTRG),Provides funding support to companies that voluntarily commit to providing part-time re-employment to all eligible seniors who request for it.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/senior-worker-early-adopter-grant-and-part-time-re-employment-grant-employers.html>,False
Progressive Wage Credit Scheme,"Provides transitional support to employers for Progressive Wages moves, by co-funding wage increases of lower-wage workers between 2022 and 2026.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/askpwcs>,False
Senior Employment Credit,No application is required. The Senior Employment Credit provides wage offsets to help employers that employ workers aged 55 and above adjust to the higher Retirement Age and Re-employment Age.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/sec-cto-eec>,False
SkillsFuture Work-Study Programmes (WSPs),"Businesses can groom and hire fresh talent through Work-Study Programmes across Certificate, Diploma, Post-Diploma, and Degree levels. Businesses will jointly design and deliver with Institutes of Higher Learning (IHLs) and appointed private providers.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/skillsfuture-work-study-programmes>,False
Uplifting Employment Credit,The Uplifting Employment Credit provides wage offsets to employers hiring ex-offenders.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.go.gov.sg/uec>,False
3R Fund,The 3R Fund supports companies and organisations registered in Singapore to implement waste minimisation and recycling projects to reduce solid waste sent for disposal.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.nea.gov.sg/programmes-grants/grants-and-awards/3r-fund>,False
Future Energy Fund,The Future Energy Fund supports infrastructure investments for energy transition to net-zero future.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ema.gov.sg/news-events/news/media-releases/2024/establishment-of-future-energy-fund-to-support-singapore-infrastructure-investments>,False
Sustainability Reporting Grant,"The Sustainability Reporting Grant will provide funding support for large companies with annual revenue $100 million and above, to cover a portion of their costs in producing their first sustainability report in Singapore.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/about-edb/media-releases-publications/supporting-businesses-in-the-transition-to-a-low-carbon-and-sustainable-future.html>,False
Water Efficiency Fund (WEF),"WEF provides funding to local non-domestic water users to enable them to improve water efficiency through water efficiency assessment, pilot study, recycling, adoption of water efficient equipment & industrial water solution demonstration projects.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.pub.gov.sg/savewater/atwork/efficiencymeasures>,False
Enterprise Development Grant (EDG),"The EDG helps Singapore companies grow and transform. This grant supports projects that help you upgrade your business, innovate or venture overseas. Receive up to 70% support for eligible costs.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/enterprise-development-grant>,False
Agri-Food Cluster Transformation (ACT) Fund,"The Agri-Food Cluster Transformation (ACT) Fund supports local food-producing companies in their efforts to expand production capabilities, boost yield, raise productivity, sustainability and improve circularity.",,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.sfa.gov.sg/explore-by-sections/farms/funding-schemes/act-fund >,False
Accessibility Fund,Building owners can receive up to 80% support for upgrading their existing buildings with essential accessibility features.,,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/universal-design/accessibility-fund>,False
